tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
5072,user_44390,True,Sun Oct 01 08:00:00 +0000 2017,@united lost my bag as well ugh,,
1403,Delta,False,Mon Oct 02 07:30:00 +0000 2017,Sorry you're having trouble checking in. Try the Fly Delta app first; if it persists DM us your confirmation number and we'll get you a boarding pass. ^AB,,1402
4980,user_75180,True,Wed Oct 11 00:10:00 +0000 2017,@Delta ur crew on DL4690 were dismissive and unprofesisonal. never flying again,4981,
4719,Delta,False,Tue Oct 10 08:56:00 +0000 2017,We can review your options. Please DM your confirmation number and we'll check change/cancel fees for your fare. ^RM,,4718
4884,user_57005,True,Tue Oct 10 18:34:00 +0000 2017,@Delta just missed my connecting flgiht in ATL because your inbound was late. need to rebook,4885,
1032,user_83599,True,Sun Oct 01 09:52:00 +0000 2017,@Delta my Detroit flight is showing delayed but the board says on time?? which is it,1033,
1900,user_64685,True,Tue Oct 03 12:30:00 +0000 2017,why is @Delta flight DL458 delayed AGAIN. i've been waiting 2 hours,1901,
1958,user_91794,True,Tue Oct 03 15:53:00 +0000 2017,"@Delta kiosk at JFK isn't printing my boarding pass, line is huge",1959,
2413,Delta,False,Wed Oct 04 18:25:00 +0000 2017,This made our day — thank you! We'll share your shoutout with the crew. ✈️ ^RM,,2412
1445,Delta,False,Mon Oct 02 09:57:00 +0000 2017,Happy to point you in the right direction — the details are on delta.com. Let us know if you have questions! ^DS,,1444
2515,Delta,False,Thu Oct 05 00:22:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,2514
1347,Delta,False,Mon Oct 02 04:14:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,1346
2046,user_82694,True,Tue Oct 03 21:01:00 +0000 2017,"@Delta weather cancelled DL902, been on hold 2 hrs. can someone rebook met o LAX?",2047,
1342,user_79335,True,Mon Oct 02 03:57:00 +0000 2017,"@Delta requesting a refund for the cancelled LGA flight, this is my 3rd time asking",1343,
2259,Delta,False,Wed Oct 04 09:26:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,2258
2229,Delta,False,Wed Oct 04 07:41:00 +0000 2017,Let's get you boarded. Please DM your confirmation number and we'll pull up your boarding pass. ^JK,,2228
3189,Delta,False,Fri Oct 06 15:41:00 +0000 2017,We can look into that. DM us your SkyMiles number and we'll review your account and status. ^TL,,3188
1484,user_72296,True,Mon Oct 02 12:14:00 +0000 2017,@Delta your flight attendant on the ATL route was so kind to my kids ❤️,1485,
4712,user_63649,True,Tue Oct 10 08:32:00 +0000 2017,@Delta your flight attendant on the ORD route was so kind to my kids ❤️,4713,
3264,user_70918,True,Fri Oct 06 20:04:00 +0000 2017,@Delta you charged me $30 for a bag i never checked. refund please,3265,
3465,Delta,False,Sat Oct 07 07:47:00 +0000 2017,Happy to point you in the right direction — the details are on delta.com. Let us know if you have questions! ^DS,,3464
3487,Delta,False,Sat Oct 07 09:04:00 +0000 2017,Thank you so much for the kind words! We'll be sure to pass this along to the team. Safe travels! ^JK,,3486
3909,Delta,False,Sun Oct 08 09:41:00 +0000 2017,Happy to point you in the right direction — the details are on delta.com. Let us know if you have questions! ^DS,,3908
3049,Delta,False,Fri Oct 06 07:31:00 +0000 2017,"Great question! You can find the full policy details on delta.com, and we're happy to help if anything's unclear. ^TL",,3048
2325,Delta,False,Wed Oct 04 13:17:00 +0000 2017,Sorry for the trouble with your refund. DM us your confirmation number and we'll check its status for you. ^DS,,2324
3819,Delta,False,Sun Oct 08 04:26:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,3818
1733,Delta,False,Tue Oct 03 02:45:00 +0000 2017,Delayed bags are frustrating. DM us your file reference and we'll check its status right away. ^AB,,1732
4445,Delta,False,Mon Oct 09 16:57:00 +0000 2017,Delayed bags are frustrating. DM us your file reference and we'll check its status right away. ^AB,,4444
3896,user_15135,True,Sun Oct 08 08:56:00 +0000 2017,@Delta how many miles do i need for an award flight to LAX?,3897,
2286,user_11481,True,Wed Oct 04 11:01:00 +0000 2017,@Delta whats your policy on bringing a car seat for my toddler,2287,
2566,user_41884,True,Thu Oct 05 03:21:00 +0000 2017,"@Delta the app won't load my boarding pass for JFK, boarding in 30 min!!",2567,
4075,Delta,False,Sun Oct 08 19:22:00 +0000 2017,We can review your options. Please DM your confirmation number and we'll check change/cancel fees for your fare. ^RM,,4074
2625,Delta,False,Thu Oct 05 06:47:00 +0000 2017,Sorry you're having trouble checking in. Try the Fly Delta app first; if it persists DM us your confirmation number and we'll get you a boarding pass. ^AB,,2624
3735,Delta,False,Sat Oct 07 23:32:00 +0000 2017,We understand billing issues are stressful. Please DM us your confirmation number and the charge details so we can review it. ^TL,,3734
2554,user_89029,True,Thu Oct 05 02:39:00 +0000 2017,"@Delta huge thanks to the crew on DL2203 to SEA, they were amazing! ✈️",2555,
1722,user_55671,True,Tue Oct 03 02:07:00 +0000 2017,@Delta weve been sitting on the tarmac at LGA for 3 hours whats going on,1723,
2223,Delta,False,Wed Oct 04 07:20:00 +0000 2017,Delayed bags are frustrating. DM us your file reference and we'll check its status right away. ^AB,,2222
2710,user_85485,True,Thu Oct 05 11:45:00 +0000 2017,"@Delta why won't your app let me check in, it just spins forever",2711,
2222,user_81140,True,Wed Oct 04 07:17:00 +0000 2017,"@Delta still no sign of my checked bag, it's been 10 days. file ref ABC123",2223,
4532,user_67166,True,Mon Oct 09 22:02:00 +0000 2017,"@Delta delayed baggage again, bag never made my connection in JFK",4533,
1030,user_86015,True,Sun Oct 01 09:45:00 +0000 2017,why is @Delta flight DL4290 delayed AGAIN. i've been waiting 3 hours,1031,
3650,user_66379,True,Sat Oct 07 18:35:00 +0000 2017,@Delta weve been sitting on the tarmac at LGA for 4 hours whats going on,3651,
2791,Delta,False,Thu Oct 05 16:28:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,2790
3718,user_92508,True,Sat Oct 07 22:33:00 +0000 2017,@Delta weve been sitting on the tarmac at ORD for 4 hours whats going on,3719,
1263,Delta,False,Sun Oct 01 23:20:00 +0000 2017,Apologies for the delay to your travel plans. Send us a DM with your confirmation # and we'll check the next available flights. ^JK,,1262
2193,Delta,False,Wed Oct 04 05:35:00 +0000 2017,We can review your options. Please DM your confirmation number and we'll check change/cancel fees for your fare. ^RM,,2192
2210,user_44228,True,Wed Oct 04 06:35:00 +0000 2017,"@Delta got double billed $200 on my card for seat selection, fix this",2211,
1620,user_67646,True,Mon Oct 02 20:10:00 +0000 2017,"@Delta kiosk at LAX isn't printing my baording pass, line is huge",1621,
2901,Delta,False,Thu Oct 05 22:53:00 +0000 2017,Sorry for the trouble with your refund. DM us your confirmation number and we'll check its status for you. ^DS,,2900
2124,user_54619,True,Wed Oct 04 01:34:00 +0000 2017,@Delta just missed my connecting filght in MSP because your inbound was late. need to rebook,2125,
3520,user_30184,True,Sat Oct 07 11:00:00 +0000 2017,@Delta i'm disgusted by how i was treated at the SEA gate today,3521,
3109,Delta,False,Fri Oct 06 11:01:00 +0000 2017,We can review your options. Please DM your confirmation number and we'll check change/cancel fees for your fare. ^RM,,3108
4468,user_31555,True,Mon Oct 09 18:18:00 +0000 2017,@Delta my bag didn't show up at Atlanta baggage claim. where is it??,4469,
3453,Delta,False,Sat Oct 07 07:05:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,3452
1767,Delta,False,Tue Oct 03 04:44:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,1766
1710,user_96196,True,Tue Oct 03 01:25:00 +0000 2017,@Delta trying to pick seats for DL3684 but the app keeps erroring out,1711,
3349,Delta,False,Sat Oct 07 01:01:00 +0000 2017,This is not the experience we want you to have. Please DM us what happened and your flight details so we can make it right. ^AB,,3348
2064,user_92069,True,Tue Oct 03 22:04:00 +0000 2017,"@Delta my skymiles number GKR777 shows the wrong status, i'm platinum",2065,
4373,Delta,False,Mon Oct 09 12:45:00 +0000 2017,We're sorry about your damaged bag. Please DM us your confirmation number and we'll open a claim and help you further. ^DS,,4372
2000,user_79224,True,Tue Oct 03 18:20:00 +0000 2017,@Delta weve been sitting on the tarmac at New York for 2 hours whats going on,2001,
1463,Delta,False,Mon Oct 02 11:00:00 +0000 2017,Delayed bags are frustrating. DM us your file reference and we'll check its status right away. ^AB,,1462
1250,user_60867,True,Sun Oct 01 22:35:00 +0000 2017,@Delta do medallion members get free bags on flights to New York?,1251,
1396,user_61452,True,Mon Oct 02 07:06:00 +0000 2017,@Delta weve been sitting on the tarmac at ATL for 2 hours whats going on,1397,
4764,user_54732,True,Tue Oct 10 11:34:00 +0000 2017,@Delta you lost my luggage on flight DL1901. this is unacceptable,4765,
4844,user_64799,True,Tue Oct 10 16:14:00 +0000 2017,"@Delta I need t ochange my flight DL638 to an earlier one to Detroit, how?",4845,
2326,user_43812,True,Wed Oct 04 13:21:00 +0000 2017,"@Delta I can't check in online for flight DL541, keeps saying error",2327,
1292,user_88442,True,Mon Oct 02 01:02:00 +0000 2017,@Delta my Detroit flight is showing delayed but the board says on time?? which is it,1293,
1464,user_46980,True,Mon Oct 02 11:04:00 +0000 2017,@Delta my miles from flight DL1824 last week never posted to my skymiles,1465,
2101,Delta,False,Wed Oct 04 00:13:00 +0000 2017,Thanks for being a SkyMiles member. Please DM us your SkyMiles number and the flight details and we'll check on those miles. ^RM,,2100
3098,user_29881,True,Fri Oct 06 10:23:00 +0000 2017,@Delta is there wifi on the ORD route? need to work,3099,
4214,user_28654,True,Mon Oct 09 03:29:00 +0000 2017,@Delta trying to pick seats for DL585 but the app keeps erroring out,4215,
2630,user_30972,True,Thu Oct 05 07:05:00 +0000 2017,@Delta can I cancel my reservation and get a credit? confirmation QQ1029,2631,
1252,user_31028,True,Sun Oct 01 22:42:00 +0000 2017,@Delta I was charged twice for flight DL2613. want a refund ASAP,1253,
3897,Delta,False,Sun Oct 08 08:59:00 +0000 2017,We can look into that. DM us your SkyMiles number and we'll review your account and status. ^TL,,3896
2754,user_59190,True,Thu Oct 05 14:19:00 +0000 2017,"@Delta weather cancelled DL1552, been on hold 2 hrs. can someone rebook me to BOS?",2755,
4095,Delta,False,Sun Oct 08 20:32:00 +0000 2017,We can review your options. Please DM your confirmation number and we'll check change/cancel fees for your fare. ^RM,,4094
1419,Delta,False,Mon Oct 02 08:26:00 +0000 2017,So sorry to hear your bag didn't arrive. Please DM your file reference or confirmation number and we'll track it down. ^TL,,1418
4156,user_38933,True,Mon Oct 09 00:06:00 +0000 2017,"@Delta stuck at LGA bc DL2998 is delayed 60 mins, gonna miss my connection 😡",4157,
3920,user_59855,True,Sun Oct 08 10:20:00 +0000 2017,"@Delta my travel credit disappeared from my account, i had $30",3921,
4462,user_43849,True,Mon Oct 09 17:57:00 +0000 2017,"@Delta delayed baggage again,b ag never made my connection in MSP",4463,
2568,user_66003,True,Thu Oct 05 03:28:00 +0000 2017,"@Delta ruined my ORD trip, disorganized and rude staff everywhere",2569,
1907,Delta,False,Tue Oct 03 12:54:00 +0000 2017,Sorry for the trouble with your refund. DM us your confirmation number and we'll check its status for you. ^DS,,1906
3915,Delta,False,Sun Oct 08 10:02:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,3914
3608,user_27989,True,Sat Oct 07 16:08:00 +0000 2017,hey @Delta my suitcase came off the belt in JFK completely damaged 😞,3609,
2701,Delta,False,Thu Oct 05 11:13:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,2700
1978,user_91054,True,Tue Oct 03 17:03:00 +0000 2017,@Delta u charged me $120 for a bag i never checked. refund please,1979,
3972,user_41161,True,Sun Oct 08 13:22:00 +0000 2017,@Delta weve been sitting on the tarmac at Detroit for 1 hours whats going on,3973,
4777,Delta,False,Tue Oct 10 12:19:00 +0000 2017,Happy to point you in the right direction — the details are on delta.com. Let us know if you have questions! ^DS,,4776
1504,user_16116,True,Mon Oct 02 13:24:00 +0000 2017,@Delta the wheel on my suitcase was ripped off by baggage handling. who do i talk to,1505,
2206,user_16575,True,Wed Oct 04 06:21:00 +0000 2017,"@Delta why won't your app let me check in, it just spins forever",2207,
1671,Delta,False,Mon Oct 02 23:08:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,1670
2426,user_77095,True,Wed Oct 04 19:11:00 +0000 2017,"@Delta requesting a refund for the cancelled BOS flight, this is my 3rd time asking",2427,
3389,Delta,False,Sat Oct 07 03:21:00 +0000 2017,Thank you so much for the kind words! We'll be sure to pass this along to the team. Safe travels! ^JK,,3388
3084,user_30307,True,Fri Oct 06 09:34:00 +0000 2017,@Delta I was charged twice for flight DL4940. want a refund ASAP,3085,
1490,user_83046,True,Mon Oct 02 12:35:00 +0000 2017,"@Delta got double billed $75 on my card for sea tselection, fix this",1491,
3491,Delta,False,Sat Oct 07 09:18:00 +0000 2017,Sorry for the trouble with your refund. DM us your confirmation number and we'll check its status for you. ^DS,,3490
1188,user_22326,True,Sun Oct 01 18:58:00 +0000 2017,@Delta you lost my luggage on flight DL3691. this is unacceptable,1189,
2399,Delta,False,Wed Oct 04 17:36:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,2398
2953,Delta,False,Fri Oct 06 01:55:00 +0000 2017,Thanks for being a SkyMiles member. Please DM us your SkyMiles number and the flight details and we'll check on those miles. ^RM,,2952
4203,Delta,False,Mon Oct 09 02:50:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,4202
4109,Delta,False,Sun Oct 08 21:21:00 +0000 2017,We're truly sorry about your experience — this isn't the standard we aim for. Please DM us the details so the right team can follow up. ^DS,,4108
4937,Delta,False,Tue Oct 10 21:39:00 +0000 2017,Let's get you boarded. Please DM your confirmation number and we'll pull up your boarding pass. ^JK,,4936
1010,user_14160,True,Sun Oct 01 08:35:00 +0000 2017,"@Delta mobile boarding pass gone from wallet, flight DL1136 in an hour",1011,
2292,user_54178,True,Wed Oct 04 11:22:00 +0000 2017,@Delta I was charged twice for flight DL3286. want a refund ASAP,2293,
1060,user_25547,True,Sun Oct 01 11:30:00 +0000 2017,@Delta how many miles do i need for an award flight to SLC?,1061,
1869,Delta,False,Tue Oct 03 10:41:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,1868
2916,user_23840,True,Thu Oct 05 23:46:00 +0000 2017,"@Delta I need to change my flight DL4269 to an earlier one to Detroit, how?",2917,
3289,Delta,False,Fri Oct 06 21:31:00 +0000 2017,Delayed bags are frustrating. DM us your file reference and we'll check its status right away. ^AB,,3288
1840,user_23398,True,Tue Oct 03 09:00:00 +0000 2017,@Delta i'm disgusted by how i was treated at the DTW gate today,1841,
1457,Delta,False,Mon Oct 02 10:39:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,1456
4668,user_76871,True,Tue Oct 10 05:58:00 +0000 2017,@Delta absolutely the worst experience today. gate agent in Detroit was so rude,4669,
4263,Delta,False,Mon Oct 09 06:20:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,4262
1240,user_82205,True,Sun Oct 01 22:00:00 +0000 2017,"@Delta got double iblled $75 on my card for seat selection, fix this",1241,
3783,Delta,False,Sun Oct 08 02:20:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,3782
2830,user_60521,True,Thu Oct 05 18:45:00 +0000 2017,@Delta just missed my connecting flight in New York because your inbound was late. need to rebook,2831,
4377,Delta,False,Mon Oct 09 12:59:00 +0000 2017,We're so sorry for the disruption. Please DM us your confirmation number and we'll look at rebooking options right away. ^AB,,4376
2075,Delta,False,Tue Oct 03 22:42:00 +0000 2017,This is not the experience we want you to have. Please DM us what happened and your flight details so we can make it right. ^AB,,2074
2844,user_56956,True,Thu Oct 05 19:34:00 +0000 2017,"@Delta best flight experience in years today, thank you!",2845,
1019,Delta,False,Sun Oct 01 09:06:00 +0000 2017,This made our day — thank you! We'll share your shoutout with the crew. ✈️ ^RM,,1018
1473,Delta,False,Mon Oct 02 11:35:00 +0000 2017,Sorry you're having trouble checking in. Try the Fly Delta app first; if it persists DM us your confirmation number and we'll get you a boarding pass. ^AB,,1472
4768,user_82782,True,Tue Oct 10 11:48:00 +0000 2017,@Delta do medallion members get free bags on flights to Atlanta?,4769,
2903,Delta,False,Thu Oct 05 23:00:00 +0000 2017,"Great question! You can find the full policy details on delta.com, and we're happy to help if anything's unclear. ^TL",,2902
1791,Delta,False,Tue Oct 03 06:08:00 +0000 2017,Thank you so much for the kind words! We'll be sure to pass this along to the team. Safe travels! ^JK,,1790
1107,Delta,False,Sun Oct 01 14:14:00 +0000 2017,Apologies for the delay to your travel plans. Send us a DM with your confirmation # and we'll check the next available flights. ^JK,,1106
2490,user_86853,True,Wed Oct 04 22:55:00 +0000 2017,"@Delta shoutout to the gate agent in LGA who helped rebook me, went above and beyond 🙏",2491,
3067,Delta,False,Fri Oct 06 08:34:00 +0000 2017,We're truly sorry about your experience — this isn't the standard we aim for. Please DM us the details so the right team can follow up. ^DS,,3066
1992,user_98496,True,Tue Oct 03 17:52:00 +0000 2017,@Delta your flight attendant on the JFK route was so kind to my kids ❤️,1993,
1726,user_78521,True,Tue Oct 03 02:21:00 +0000 2017,@Delta you charged me $30 for a bag i never checked. refund please,1727,
1858,user_13757,True,Tue Oct 03 10:03:00 +0000 2017,@Delta my flight DL2362 to LAX got cancelled and no one told me. what now??,1859,
2654,user_15038,True,Thu Oct 05 08:29:00 +0000 2017,"@Delta my travel credit disappeared from my account, i had $75",2655,
2392,user_97887,True,Wed Oct 04 17:12:00 +0000 2017,flight DL2659 cancelled @Delta and the app won't let me rebook. help pls,2393,
2076,user_39769,True,Tue Oct 03 22:46:00 +0000 2017,@Delta your crew on DL2979 were dismissive and unprofessional. never flying again,2077,
3373,Delta,False,Sat Oct 07 02:25:00 +0000 2017,We can look into that. DM us your SkyMiles number and we'll review your account and status. ^TL,,3372
2248,user_63314,True,Wed Oct 04 08:48:00 +0000 2017,@Delta trying to pick seats for DL762 but the app keeps erroring out,2249,
2204,user_83110,True,Wed Oct 04 06:14:00 +0000 2017,@Delta is there wifi on the SEA route? need to work,2205,
2951,Delta,False,Fri Oct 06 01:48:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,2950
1012,user_15977,True,Sun Oct 01 08:42:00 +0000 2017,"@Delta delayed baggage again, bag never made my connection in BOS",1013,
2320,user_77676,True,Wed Oct 04 13:00:00 +0000 2017,@Delta my bag didn't show up at LGA baggage claim. where is it??,2321,
4794,user_40540,True,Tue Oct 10 13:19:00 +0000 2017,@Delta are there power outlets on flight DL3922?,4795,
3227,Delta,False,Fri Oct 06 17:54:00 +0000 2017,Happy to help with your reservation. DM us your confirmation number and the change you'd like and we'll take a look. ^JK,,3226
4930,user_36470,True,Tue Oct 10 21:15:00 +0000 2017,hey @Delta my suitcase came off the belt in LAX completely damaged 😞,4931,
4138,user_73645,True,Sun Oct 08 23:03:00 +0000 2017,@Delta absolutely the worst experience today. gate agent in MSP was so rude,4139,
1630,user_81466,True,Mon Oct 02 20:45:00 +0000 2017,@Delta how do I upgrade to comfort+ on my SEA flight?,1631,
2929,Delta,False,Fri Oct 06 00:31:00 +0000 2017,We can look into that. DM us your SkyMiles number and we'll review your account and status. ^TL,,2928
1477,Delta,False,Mon Oct 02 11:49:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,1476
3254,user_42591,True,Fri Oct 06 19:29:00 +0000 2017,@Delta how early should i arrive for a domestic flight to SLC?,3255,
4511,Delta,False,Mon Oct 09 20:48:00 +0000 2017,Sorry you're having trouble checking in. Try the Fly Delta app first; if it persists DM us your confirmation number and we'll get you a boarding pass. ^AB,,4510
3169,Delta,False,Fri Oct 06 14:31:00 +0000 2017,We're truly sorry about your experience — this isn't the standard we aim for. Please DM us the details so the right team can follow up. ^DS,,3168
1351,Delta,False,Mon Oct 02 04:28:00 +0000 2017,So sorry to hear your bag didn't arrive. Please DM your file reference or confirmation number and we'll track it down. ^TL,,1350
1024,user_95070,True,Sun Oct 01 09:24:00 +0000 2017,"@Delta I want to move my Detroit trip to next week, is there a fee?",1025,
2502,user_41511,True,Wed Oct 04 23:37:00 +0000 2017,@Delta your crew on DL468 were dismissive and unprofessional. never flying again,2503,
4100,user_70364,True,Sun Oct 08 20:50:00 +0000 2017,"@Delta I need to change my flight DL3762 to an earlier one to Nwe York, how?",4101,
2677,Delta,False,Thu Oct 05 09:49:00 +0000 2017,Thanks for being a SkyMiles member. Please DM us your SkyMiles number and the flight details and we'll check on those miles. ^RM,,2676
5015,user_60828,True,Sun Oct 01 08:00:00 +0000 2017,@united lost my bag as well ugh,,
4715,Delta,False,Tue Oct 10 08:42:00 +0000 2017,Sorry for the trouble with your refund. DM us your confirmation number and we'll check its status for you. ^DS,,4714
1950,user_57523,True,Tue Oct 03 15:25:00 +0000 2017,@Delta my flight DL4052 to SEA got cancelled and no one told me. what now??,1951,
1436,user_62709,True,Mon Oct 02 09:26:00 +0000 2017,@Delta do medallion members get free bags on flights to Detroit?,1437,
4245,Delta,False,Mon Oct 09 05:17:00 +0000 2017,Thanks for being a SkyMiles member. Please DM us your SkyMiles number and the flight details and we'll check on those miles. ^RM,,4244
2874,user_71255,True,Thu Oct 05 21:19:00 +0000 2017,hey @Delta my suitcase came off the belt in ATL completely damaged 😞,2875,
3621,Delta,False,Sat Oct 07 16:53:00 +0000 2017,Apologies for the delay to your travel plans. Send us a DM with your confirmation # and we'll check the next available flights. ^JK,,3620
1823,Delta,False,Tue Oct 03 08:00:00 +0000 2017,Apologies for the delay to your travel plans. Send us a DM with your confirmation # and we'll check the next available flights. ^JK,,1822
3332,user_71277,True,Sat Oct 07 00:02:00 +0000 2017,@Delta check in says see agent but there's no agent at the SEA counter,3333,
2062,user_96566,True,Tue Oct 03 21:57:00 +0000 2017,flight DL433 cancelled @Delta and the app won't let me rebook. help pls,2063,
4233,Delta,False,Mon Oct 09 04:35:00 +0000 2017,We understand missing a connection is stressful. DM us your confirmation number and we'll get you rebooked. ^RM,,4232
3654,user_63919,True,Sat Oct 07 18:49:00 +0000 2017,@Delta I was charged twice for flight DL1973. want a refund ASAP,3655,
